Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
46.6,55,36155.99,125.29,Synergistic proactive analyzer,City_246,0,San Marino,2016-01-30 18:34:03,1
62.74,29,41211.38,102.68,Reduced integrated policy  solution,City_278,0,Japan,2016-05-12 15:16:04,1
55.51,25,57703.64,205.1,Extended extended methodology,City_355,0,Norway,2016-07-07 02:53:01,0
54.32,46,53741.77,167.54,Reduced persevering framework,City_162,0,India,2016-03-22 05:48:12,1
79.63,31,43878.07,207.9,Extended extended methodology system,City_114,0,Turkey,2016-12-28 08:37:58,0
69.29,22,78208.45,236.8,Extended configurable capability capability,City_304,0,Egypt,2016-06-29 02:44:58,0
74.02,31,71594.07,239.39,Enhanced reduced architecture  solution,City_201,0,Egypt,2016-05-14 02:07:20,0
55.93,34,64927.64,230.1,Proactive integrated functionalities,City_481,0,Ghana,2016-08-10 08:40:26,0
55.6,27,52630.94,170.25,Universal reduced framework  solution,City_245,0,Germany,2016-04-11 08:05:35,1
73.0,39,76773.33,205.69,Proactive persevering productivity system,City_122,0,Burundi,2016-01-08 12:48:51,0
66.64,44,54386.41,210.57,Reduced universal functionalities  solution,City_418,0,San Marino,2016-07-27 00:01:21,0
37.14,34,47334.46,174.21,Universal proactive solution,City_174,1,China,2016-10-20 20:15:52,1
43.17,21,55160.52,136.4,Configurable synergistic architecture system,City_469,0,Qatar,2016-10-08 19:37:24,1
51.45,35,62241.75,156.87,Integrated configurable analyzer capability,City_142,1,Grenada,2016-08-06 19:57:12,1
65.07,35,64678.94,222.09,Configurable universal protocol,City_298,0,Canada,2016-03-24 16:23:54,0
79.02,36,69604.69,192.03,Reduced configurable framework,City_331,0,Liberia,2016-02-28 20:32:16,0
52.08,42,48975.81,162.4,Universal configurable infrastructure system,City_321,0,Grenada,2016-02-14 03:39:55,1
65.6,34,68224.65,239.19,Reduced proactive system system,City_137,1,Qatar,2016-07-04 18:50:58,0
74.0,37,39968.24,207.27,Universal cloned policy,City_15,0,Spain,2016-08-09 17:07:33,0
52.49,34,35950.35,200.03,Universal universal productivity capability,City_423,1,Argentina,2016-02-26 19:37:49,1
50.35,30,58645.36,134.93,Proactive universal methodology  solution,City_378,1,Egypt,2016-10-09 15:23:52,1
92.13,40,77885.14,217.6,Universal reduced solution,City_412,0,Myanmar,2016-09-02 20:13:07,0
84.26,32,42396.94,232.7,Universal synergistic analyzer  solution,City_318,0,Brazil,2016-10-03 12:45:40,0
71.49,33,69267.99,215.44,Enhanced integrated forecast,City_51,0,Peru,2016-03-09 20:27:22,0
79.62,34,54488.25,211.01,Reduced universal capability capability,City_143,0,Norway,2016-02-20 19:27:28,0
66.15,41,80000.0,228.41,Configurable proactive infrastructure,City_320,1,Peru,2016-04-20 07:18:11,0
41.99,36,70131.81,162.71,Integrated universal analyzer  solution,City_412,0,Norway,2016-10-28 01:43:23,1
52.3,39,49882.33,180.68,Synergistic extended architecture,City_65,1,Peru,2016-08-04 05:52:45,1
42.29,43,49289.44,173.03,Proactive universal framework capability,City_409,1,Brazil,2016-08-02 18:48:44,1
65.8,45,58263.92,226.29,Enhanced enhanced paradigm capability,City_271,1,Canada,2016-06-10 02:17:58,1
66.0,28,62354.61,192.03,Configurable proactive productivity  solution,City_68,0,India,2016-02-25 14:18:47,0
87.54,38,48160.83,189.45,Integrated proactive productivity,City_116,1,Burundi,2016-04-28 04:50:58,0
64.47,42,44944.01,226.77,Cloned extended policy,City_477,1,Japan,2016-11-12 18:36:52,0
58.51,38,58201.78,148.49,Universal integrated productivity,City_130,1,China,2016-02-21 13:52:42,1
55.54,29,58323.66,141.92,Synergistic integrated architecture,City_60,1,Qatar,2016-07-02 13:19:08,1
54.4,58,65650.87,167.15,Configurable universal analyzer,City_369,1,China,2016-10-20 14:29:53,1
95.0,44,46275.56,201.61,Integrated configurable paradigm capability,City_468,0,Tunisia,2016-02-27 06:08:34,0
48.23,25,61548.16,152.8,Synergistic cloned initiative system,City_108,0,Australia,2016-07-09 10:22:58,1
47.31,32,31653.37,128.82,Universal integrated paradigm capability,City_321,0,Australia,2016-12-13 18:53:05,1
55.37,49,28922.22,140.69,Extended persevering infrastructure capability,City_315,1,Qatar,2016-05-07 16:27:31,1
61.01,34,62162.56,223.85,Integrated extended solution,City_11,0,Mexico,2016-05-02 13:48:39,0
62.0,26,42040.79,114.61,Enhanced persevering functionalities  solution,City_267,1,Spain,2016-08-11 21:21:18,1
47.79,23,70810.52,199.31,Configurable integrated productivity,City_78,1,Qatar,2016-08-18 04:38:02,0
68.0,23,53515.69,137.9,Persevering integrated framework capability,City_391,1,Bolivia,2016-07-23 09:01:22,1
88.1,34,80000.0,191.38,Integrated proactive architecture system,City_156,0,Australia,2016-12-20 23:43:41,0
79.54,30,74051.25,190.54,Proactive persevering emulation capability,City_179,0,San Marino,2016-08-25 18:22:31,0
64.92,40,80000.0,234.53,Proactive synergistic protocol  solution,City_184,0,Tunisia,2016-05-26 17:04:43,0
44.99,29,27195.65,149.7,Universal universal system system,City_358,1,Czech Republic,2016-01-27 15:09:00,1
79.81,30,80000.0,233.83,Reduced universal capability  solution,City_199,0,China,2016-01-13 06:32:56,0
65.66,41,64340.63,124.84,Enhanced integrated productivity  solution,City_272,1,China,2016-11-20 17:16:36,1
86.18,39,57206.33,225.57,Reduced proactive framework,City_222,0,Italy,2016-05-10 13:43:16,0
78.17,37,64461.03,195.16,Synergistic integrated system capability,City_250,1,Mexico,2016-05-06 18:18:11,0
58.87,54,47124.96,220.47,Configurable universal paradigm capability,City_223,0,Qatar,2016-10-31 00:09:39,0
59.44,39,38715.9,134.84,Cloned reduced framework,City_491,1,China,2016-11-09 11:24:24,1
82.87,38,51831.73,214.74,Reduced integrated paradigm,City_354,0,Burundi,2016-01-07 17:32:37,0
77.8,24,80000.0,173.58,Reduced extended policy  solution,City_497,1,Turkey,2016-12-08 15:11:00,0
63.33,44,54969.59,122.77,Proactive enhanced productivity  solution,City_492,1,Bolivia,2016-06-12 18:04:12,1
46.33,26,53847.56,178.6,Universal universal initiative system,City_185,1,Iceland,2016-02-13 19:59:26,1
91.88,37,51400.82,209.09,Persevering integrated forecast  solution,City_141,0,Norway,2016-11-16 20:31:30,0
53.23,51,45232.05,143.85,Integrated proactive infrastructure capability,City_74,0,Tunisia,2016-09-27 02:53:14,1
84.36,35,44392.08,221.08,Persevering proactive policy system,City_242,1,China,2016-01-15 22:10:07,0
74.13,29,50874.28,217.53,Configurable universal forecast,City_357,1,Iceland,2016-12-13 03:12:49,0
57.49,45,52944.03,248.59,Reduced reduced paradigm,City_343,1,Egypt,2016-01-21 15:12:08,0
76.68,28,67774.81,226.42,Proactive configurable paradigm,City_213,1,Ghana,2016-05-25 17:30:49,0
38.87,28,66480.94,100.0,Integrated universal infrastructure  solution,City_316,0,China,2016-06-30 08:23:44,1
70.48,41,75726.94,219.12,Enhanced enhanced analyzer capability,City_226,1,Argentina,2016-08-04 09:45:48,0
64.61,38,47885.41,214.79,Cloned reduced initiative system,City_66,1,Norway,2016-09-24 00:51:38,0
70.61,29,45797.9,219.77,Cloned enhanced infrastructure,City_465,1,Norway,2016-08-14 06:25:38,0
91.46,35,70995.67,218.59,Synergistic integrated solution capability,City_389,0,Poland,2016-04-04 09:45:33,0
38.18,50,49690.88,125.75,Extended universal architecture system,City_31,1,Liberia,2016-06-30 16:04:52,1
48.8,36,58835.94,171.97,Integrated proactive infrastructure,City_325,1,France,2016-10-08 10:47:07,1
77.99,44,45787.04,233.35,Persevering extended functionalities capability,City_228,0,Bolivia,2016-02-16 12:05:58,0
60.0,32,56427.4,232.85,Proactive proactive methodology  solution,City_457,1,Italy,2016-10-30 20:39:04,0
90.92,36,40244.68,208.78,Extended extended methodology  solution,City_116,0,Myanmar,2016-07-20 03:03:42,0
41.81,37,42498.44,176.42,Cloned universal protocol capability,City_44,1,France,2016-05-30 17:36:38,1
48.87,51,44256.31,153.55,Enhanced configurable protocol  solution,City_84,0,Italy,2016-08-13 02:13:24,1
43.85,31,49318.23,179.24,Integrated extended policy,City_73,0,Liberia,2016-01-09 21:35:29,1
62.38,37,33566.28,150.03,Reduced synergistic initiative,City_349,0,China,2016-08-15 00:47:56,1
46.81,27,60174.02,139.65,Configurable integrated paradigm system,City_155,0,Turkey,2016-04-30 07:45:14,1
57.07,34,34265.33,100.0,Enhanced enhanced solution,City_231,0,Australia,2016-12-12 16:37:53,1
39.53,44,39197.0,172.47,Proactive enhanced initiative  solution,City_407,0,Turkey,2016-03-07 14:03:24,1
69.68,37,79215.76,252.87,Cloned proactive infrastructure capability,City_309,0,Burundi,2016-09-15 20:23:02,0
62.18,52,41949.14,159.29,Configurable integrated methodology,City_404,1,Turkey,2016-01-15 22:59:23,1
63.72,43,75964.66,224.09,Cloned enhanced paradigm,City_451,1,Liberia,2016-08-05 21:51:43,0
55.62,43,50728.27,145.8,Proactive universal framework,City_72,0,Nauru,2016-09-28 02:54:41,1
50.43,24,41698.75,154.48,Persevering enhanced analyzer system,City_268,0,Bolivia,2016-02-03 12:27:24,1
62.31,40,54024.29,230.22,Reduced reduced solution  solution,City_246,1,Liberia,2016-11-12 11:43:16,0
73.41,38,51784.64,180.65,Proactive reduced protocol capability,City_303,0,Poland,2016-12-03 09:44:35,0
45.95,39,49320.45,119.35,Cloned configurable infrastructure,City_136,0,Ghana,2016-10-22 12:33:15,1
48.5,33,39090.04,151.47,Integrated configurable policy capability,City_66,1,Russia,2016-03-27 19:59:45,1
67.95,33,52643.07,222.53,Enhanced integrated methodology system,City_61,1,Brazil,2016-10-14 08:59:08,0
56.07,30,60884.61,205.29,Synergistic reduced functionalities,City_239,1,Myanmar,2016-01-03 00:30:22,0
77.79,31,61065.52,249.18,Cloned enhanced initiative capability,City_40,0,Germany,2016-04-04 17:07:24,0
49.01,37,45276.75,155.07,Integrated universal infrastructure,City_177,0,Canada,2016-12-19 19:05:45,1
70.74,31,64897.55,191.14,Persevering reduced methodology capability,City_310,0,Japan,2016-03-07 07:57:04,0
48.82,19,58289.31,157.65,Cloned cloned emulation system,City_235,0,Russia,2016-05-03 16:56:58,1
65.34,27,80000.0,208.0,Cloned cloned policy  solution,City_297,1,Russia,2016-05-25 08:51:36,0
74.08,37,60383.32,237.16,Integrated configurable initiative system,City_236,1,Egypt,2016-07-21 01:10:56,0
55.18,26,42568.42,115.24,Configurable enhanced policy system,City_494,1,Egypt,2016-12-26 10:50:42,1
51.45,51,47491.8,171.58,Extended persevering solution,City_388,1,Spain,2016-01-06 15:46:15,1
71.6,30,79998.45,216.14,Persevering integrated solution system,City_82,1,Australia,2016-05-02 01:27:24,0
69.86,19,39349.75,204.47,Enhanced enhanced paradigm,City_202,0,Tunisia,2016-09-18 13:00:38,0
84.12,28,80000.0,194.3,Reduced cloned infrastructure capability,City_385,0,Myanmar,2016-04-29 20:44:12,0
73.7,38,73040.96,224.19,Universal cloned protocol  solution,City_228,0,Myanmar,2016-03-27 23:24:29,0
48.03,44,59056.92,198.04,Synergistic universal methodology system,City_389,0,Egypt,2016-01-19 19:43:27,1
57.26,51,32943.96,170.14,Integrated synergistic framework,City_365,0,Russia,2016-02-12 20:19:00,1
81.79,33,52532.14,193.3,Reduced configurable productivity,City_144,0,Australia,2016-07-21 19:53:58,0
69.31,30,44893.71,156.85,Universal integrated paradigm system,City_41,1,Turkey,2016-09-30 01:15:29,1
66.05,34,67984.9,185.63,Persevering extended capability  solution,City_378,1,Canada,2016-04-09 02:59:25,1
43.12,39,53224.42,151.07,Configurable universal policy,City_8,1,Burundi,2016-07-31 17:35:47,1
49.76,35,63909.92,169.38,Persevering universal solution,City_338,1,Czech Republic,2016-05-22 06:08:28,1
63.18,47,19858.83,168.28,Reduced universal policy system,City_71,1,Iceland,2016-10-19 18:27:46,1
39.82,34,31216.04,186.09,Extended persevering analyzer,City_490,1,Russia,2016-06-22 11:16:44,1
63.08,38,36398.6,124.52,Enhanced extended system capability,City_303,0,Italy,2016-11-16 21:30:33,1
79.18,33,58933.88,243.3,Configurable reduced policy,City_329,0,Liberia,2016-07-01 10:18:58,0
49.83,38,42233.58,132.11,Extended synergistic system capability,City_171,1,Canada,2016-02-01 19:30:28,1
60.79,39,52965.27,217.25,Proactive universal infrastructure,City_107,0,Japan,2016-07-23 19:52:50,0
57.35,47,43641.8,146.32,Synergistic reduced architecture  solution,City_274,1,Liberia,2016-03-09 06:48:17,1
64.61,49,37812.61,246.62,Enhanced universal analyzer,City_253,1,Spain,2016-08-15 23:28:11,0
60.66,40,70922.12,209.82,Extended reduced capability,City_277,0,Tunisia,2016-03-09 10:59:32,0
57.27,42,58321.68,220.62,Synergistic integrated system  solution,City_244,1,Brazil,2016-11-01 23:14:57,0
59.64,35,57427.04,219.82,Proactive configurable productivity  solution,City_256,0,Grenada,2016-06-09 15:55:29,0
59.56,48,38835.11,156.5,Persevering integrated framework  solution,City_59,0,Brazil,2016-08-23 10:38:37,1
68.1,35,80000.0,181.94,Cloned universal analyzer system,City_484,1,Bolivia,2016-07-10 10:53:29,0
47.65,43,66759.1,154.63,Universal integrated capability capability,City_36,0,Australia,2016-04-16 01:10:36,1
56.28,40,47564.68,164.25,Reduced synergistic emulation,City_5,1,Peru,2016-10-26 18:59:41,0
67.29,34,43355.64,119.13,Synergistic integrated protocol,City_455,1,Mexico,2016-01-17 15:12:03,1
71.11,37,80000.0,219.26,Enhanced proactive initiative capability,City_167,0,Qatar,2016-07-18 16:41:52,0
61.09,31,79100.56,169.91,Integrated configurable architecture,City_216,1,Iceland,2016-03-03 00:49:27,1
61.47,45,34962.35,165.09,Persevering cloned solution capability,City_54,0,India,2016-02-05 13:35:53,1
51.03,26,60988.83,140.6,Extended proactive solution capability,City_374,1,Grenada,2016-07-29 22:07:01,1
75.09,39,57349.65,217.6,Cloned cloned productivity,City_464,1,Ghana,2016-05-25 14:45:48,0
57.17,46,59489.48,129.36,Reduced integrated capability,City_41,0,Tunisia,2016-06-18 17:07:36,1
55.64,38,50801.77,170.62,Persevering universal architecture,City_180,1,Peru,2016-03-04 10:54:49,1
57.53,56,47926.94,235.13,Enhanced synergistic framework,City_318,1,Germany,2016-01-09 12:25:14,0
79.14,36,80000.0,215.57,Proactive integrated forecast  solution,City_340,1,Japan,2016-05-31 19:46:28,0
59.92,45,60856.09,219.95,Extended cloned analyzer capability,City_225,1,Burundi,2016-05-31 18:03:29,0
39.39,37,76154.37,185.59,Synergistic extended infrastructure,City_167,0,Norway,2016-09-14 07:19:06,1
49.26,44,53239.91,143.26,Synergistic configurable capability,City_499,0,Nauru,2016-08-23 03:00:39,1
71.06,36,66392.7,200.84,Enhanced reduced initiative capability,City_168,0,Burundi,2016-05-21 07:31:32,0
79.74,42,63689.23,194.47,Universal synergistic architecture system,City_380,0,Turkey,2016-08-26 10:04:36,0
52.14,25,58922.39,157.55,Synergistic universal paradigm,City_62,0,Russia,2016-08-16 11:18:23,1
51.8,39,51806.26,225.8,Proactive cloned productivity,City_121,0,Grenada,2016-11-15 20:15:01,0
45.55,33,60194.34,164.75,Extended configurable analyzer,City_224,1,China,2016-06-14 12:16:56,1
50.26,33,53937.26,119.13,Integrated reduced analyzer  solution,City_128,0,Myanmar,2016-04-13 20:41:15,1
52.94,42,53199.41,170.87,Configurable configurable policy,City_249,1,Egypt,2016-10-12 10:25:36,1
59.46,29,37583.21,161.69,Synergistic synergistic policy  solution,City_346,0,Qatar,2016-03-23 01:58:53,1
53.26,40,33018.24,121.72,Synergistic cloned functionalities,City_6,1,Bolivia,2016-11-27 08:52:31,1
84.83,43,75058.25,211.83,Reduced cloned forecast,City_168,1,Bolivia,2016-01-06 06:25:56,0
49.46,34,43614.39,170.55,Synergistic universal productivity,City_311,0,Norway,2016-01-02 20:27:39,1
72.98,37,57775.52,235.55,Proactive configurable productivity,City_467,0,Egypt,2016-01-30 22:10:16,0
46.61,31,44205.19,100.0,Universal reduced solution,City_396,1,France,2016-05-11 04:45:46,1
50.58,27,58989.94,163.42,Universal synergistic solution  solution,City_165,0,Russia,2016-01-18 00:01:13,1
75.27,24,58261.14,228.9,Cloned configurable capability  solution,City_99,0,Poland,2016-12-11 18:49:19,0
66.29,41,54073.21,218.25,Universal reduced initiative,City_350,0,Grenada,2016-08-11 11:41:11,0
89.19,33,48906.67,183.19,Synergistic proactive protocol,City_467,1,India,2016-01-11 12:49:37,0
88.02,38,63847.02,216.63,Extended reduced methodology system,City_262,0,Grenada,2016-11-30 20:00:23,0
66.16,29,62891.77,205.9,Configurable reduced capability,City_38,0,Burundi,2016-09-01 07:49:37,0
51.39,26,63432.75,121.98,Integrated extended productivity capability,City_402,1,Norway,2016-11-01 17:17:49,1
65.35,40,32248.15,163.41,Persevering reduced productivity  solution,City_428,1,Mexico,2016-10-06 11:30:47,1
51.66,37,61234.8,184.62,Enhanced enhanced solution,City_85,1,Canada,2016-05-09 07:50:45,1
60.95,31,51274.74,186.44,Persevering proactive analyzer,City_290,1,France,2016-07-15 16:28:58,1
81.98,40,64004.76,216.2,Extended integrated initiative,City_296,1,Grenada,2016-07-17 15:02:32,0
57.38,26,30431.92,142.91,Enhanced cloned system,City_46,1,Norway,2016-04-02 03:39:20,1
69.24,33,60202.36,231.52,Configurable proactive architecture,City_307,1,Russia,2016-01-09 05:22:13,0
65.52,50,67099.59,170.87,Cloned enhanced solution system,City_112,0,Iceland,2016-05-06 23:38:12,0
77.05,38,80000.0,197.11,Universal persevering capability,City_340,1,Argentina,2016-02-16 16:39:55,0
58.12,37,50176.39,133.5,Extended integrated analyzer  solution,City_30,0,Bolivia,2016-10-04 08:55:12,1
59.63,39,55138.24,133.53,Proactive universal solution,City_333,1,Qatar,2016-02-07 06:03:26,1
83.1,26,62662.33,195.21,Cloned proactive methodology,City_197,1,Qatar,2016-11-08 04:50:06,0
63.81,37,44239.2,143.37,Reduced integrated protocol,City_282,0,Peru,2016-05-05 02:31:25,1
64.96,22,34610.64,154.45,Universal proactive architecture,City_220,0,Tunisia,2016-04-03 04:45:48,1
63.96,39,75382.61,216.49,Configurable reduced paradigm,City_446,1,Qatar,2016-12-23 03:53:04,0
74.77,35,80000.0,230.79,Integrated configurable paradigm,City_123,0,Australia,2016-05-11 07:58:01,0
82.12,48,80000.0,217.59,Synergistic proactive productivity capability,City_70,0,Norway,2016-04-05 23:43:38,0
69.11,33,47233.15,152.48,Proactive configurable functionalities capability,City_286,0,Argentina,2016-03-08 15:45:41,1
82.64,46,48800.87,232.92,Integrated reduced system capability,City_102,0,Poland,2016-04-17 07:00:34,0
70.62,39,56587.83,202.08,Universal synergistic infrastructure,City_289,0,Australia,2016-09-24 21:50:05,0
70.26,36,63628.16,225.67,Cloned integrated analyzer system,City_243,0,Italy,2016-08-14 05:38:18,0
57.44,38,45606.02,159.46,Integrated extended architecture  solution,City_236,1,Mexico,2016-07-03 03:32:56,1
49.71,25,59814.26,180.85,Synergistic synergistic protocol,City_200,0,Ghana,2016-06-03 05:47:35,1
75.52,26,69118.27,205.14,Synergistic persevering system system,City_342,1,Myanmar,2016-11-06 23:18:09,0
46.11,50,61405.97,158.64,Synergistic extended solution system,City_291,1,Brazil,2016-05-25 20:27:56,1
48.54,29,40864.28,189.71,Cloned cloned protocol capability,City_252,0,San Marino,2016-05-12 02:47:40,1
87.77,36,55831.12,212.24,Universal cloned infrastructure,City_114,0,Iceland,2016-09-11 15:27:23,0
63.63,19,71148.21,209.98,Enhanced enhanced framework  solution,City_343,0,San Marino,2016-12-13 12:35:20,0
58.07,37,51567.04,170.42,Synergistic enhanced protocol,City_2,0,France,2016-12-13 07:00:38,1
69.87,32,70173.31,218.48,Universal integrated emulation,City_150,0,Turkey,2016-03-03 09:53:02,0
60.59,37,49629.33,151.98,Configurable configurable emulation,City_342,0,Japan,2016-07-02 23:09:51,1
53.72,46,72645.58,188.16,Reduced integrated architecture,City_55,1,Iceland,2016-05-22 11:34:21,0
78.31,43,47464.25,231.41,Proactive universal functionalities,City_344,0,Bolivia,2016-11-25 13:16:19,0
45.1,40,51639.89,146.07,Proactive configurable architecture capability,City_37,0,Spain,2016-02-12 11:34:55,1
63.75,41,50619.37,187.95,Extended configurable system  solution,City_496,0,Spain,2016-08-07 02:36:58,0
67.48,35,37229.97,149.61,Cloned configurable infrastructure,City_28,0,Qatar,2016-08-09 22:52:22,1
54.54,36,42349.15,132.69,Enhanced cloned solution,City_271,1,Ghana,2016-01-17 13:12:02,1
43.23,28,25633.67,173.07,Synergistic enhanced emulation system,City_333,1,Norway,2016-12-03 15:14:04,1
43.29,45,61629.43,195.35,Universal extended solution  solution,City_69,1,Japan,2016-07-07 23:10:56,1
67.4,45,72646.77,192.95,Configurable universal infrastructure,City_356,0,Australia,2016-01-29 04:11:29,1
40.72,24,70563.38,166.13,Enhanced proactive policy,City_357,1,Germany,2016-02-22 08:02:20,1
67.58,40,40621.85,241.57,Configurable synergistic methodology system,City_175,0,Iceland,2016-01-28 02:24:29,0
52.75,30,51192.32,173.45,Integrated extended functionalities system,City_454,1,Grenada,2016-04-23 19:40:07,1
52.34,24,39879.98,154.32,Persevering cloned capability,City_51,0,Spain,2016-06-19 09:48:46,1
57.87,49,51010.26,142.68,Persevering synergistic protocol,City_354,0,Myanmar,2016-05-01 02:36:29,1
45.51,51,33156.2,125.88,Extended enhanced capability,City_174,0,Bolivia,2016-09-11 06:12:49,1
58.22,31,51105.19,123.78,Extended persevering system  solution,City_404,1,Spain,2016-12-12 16:56:12,1
40.86,50,43926.27,195.02,Synergistic persevering protocol capability,City_312,0,Spain,2016-09-01 12:27:35,1
49.4,27,24527.79,118.26,Cloned universal infrastructure,City_394,0,Iceland,2016-10-01 19:39:05,1
58.23,34,52809.51,215.74,Cloned universal emulation,City_157,0,Australia,2016-04-12 10:56:21,0
65.22,38,35284.67,208.87,Persevering extended policy capability,City_28,1,Egypt,2016-02-25 01:15:43,0
53.15,26,62837.88,115.88,Extended configurable paradigm,City_283,0,Canada,2016-04-17 18:35:14,1
55.32,41,39298.33,181.04,Reduced configurable system  solution,City_231,0,Turkey,2016-11-23 09:44:48,0
47.43,45,42998.15,141.78,Proactive synergistic methodology,City_296,0,Liberia,2016-02-27 02:15:21,1
68.28,34,64160.41,226.04,Synergistic integrated methodology  solution,City_194,0,Egypt,2016-10-25 03:13:27,0
74.07,24,73290.76,239.17,Cloned extended solution system,City_57,1,Iceland,2016-05-17 04:51:47,0
73.44,38,52906.32,213.99,Integrated reduced infrastructure  solution,City_426,0,Iceland,2016-06-05 11:31:13,0
